dream_id,dream_keyword,left
13,กระเป๋า,ฝันเห็นกระเป๋าใส่เงิน หรือกระเป๋าใส่เสื้อผ้าเดินทาง ทายว่า จะได้เลื่อนตำแหน่งหน้าที่ในการงาน หรือมีก
14,กระท่อม,ฝันเห็นกระท่อม หรือกระต๊อบหลังเล็ก ๆ กลางทุ่ง ไม่มีคนอยู่อาศัย ทายว่า จะต้องมีการเดินทางไกลหรือต้องถ
15,กระดิ่ง,ฝันเห็นกระดิ่ง หรือได้ยินเสียงกระดิ่ง หรือระฆัง และในฝันมั่นใจว่าเป็นเสียงกระดิ่งหรือระฆังแน่นอน ทาย
24,ก้างปลา,ฝันว่าได้เห็น หรือได้เกี้ยวกินก้างปลา ทำนายว่า จะเกิดอุปสรรครบตัวของกิจการที่กำลังทำอยู่ แต่ในที่สุด
132,ซ่อนกลิ่น,ฝันเห็นดอกซ่อนกลิ่น หรือได้ถือกำดอกซ่อนกลิ่น ทายว่า จะต้องเสียญาติผู้ใหญ่ หรือคนในบ้านจะมีเคราะห์แทน
550,ศาลเจ้า,ฝันเห็นศาลเจ้า หรือเข้าไปนั่งในศาลเจ้า หรือนำกิ้งไปไหว้ทางกุม หมายว่า จะหมดอุปทวะ หรือมีผู้มีอันดับช
566,เล็บมือ,คนเก็บเล็บมือ หรือเล็บใหม่ หรือได้รับของ วัตถุที่เป็นเล็บ ๆ เช่น เอือก หรือป่าน หรือค้าย หมายว่าจะได
26,ขี้,ฝันเห็นอุจจาระหรือขี้ หรือได้จับขี้ หรือตัวเองถ่ายอุจจาระ ทายว่า ผู้นั้นจะมีเคราะห์ จะมีเรื่องเสื่อม
27,ขี่,ฝันว่าได้ขี่ม้า หรือขี่วัวควาย แล้วตกลงมา ความฝันนี้บอกเหตุให้รู้ว่า ท่านจะได้รับภัยอันตรายจากศัตรู 
1,กางเขน,ฝันเห็นเครื่องหมายกางเขนศาสนาคริสต์ หรือไม้กางเขนที่ปักบนหลุมฝังศพ ทายว่า จะได้ลาภหรือได้เลื่อนตำแหน
7,เกือก (รองเท้า),ฝันเห็นเกือกหรือรองเท้า ได้สวม หรือได้รับรองเท้าของเพศตรงข้าม ทายว่า คนผู้นั้นถ้าเป็นโสดจะได้พบเนื้อ
17,"กริช, กัณหยั่น",ฝันเห็นกริช (มีดสองคม) หรือกัณหยั่น (มีดสองคมของจีนที่เขียนเป็นหน้าสิงโต) ทายว่าจะหมดเคราะห์ที่มี ป่
18,กำแพง,ฝันเห็นกำแพงยาว และกำแพงสูงใหญ่ ๆ ทายว่า การที่คิดไว้จะมีอุปสรรค และมีคนคอยขัดขวาง ถ้าฝันว่าตนเองปีน
19,เกากันต์,ฝันเห็นเกากันต์ หรือธนู หรือหน้าม้า ทายว่า จะมีลาภ หรือได้ร้บข่าวเกี่ยวกับญาติมิตรทางไกล
20,โกนุท (ดอกบัว),ฝันเห็นดอกบัวตูมหรือโกนุท ได้เก็บดอกบัวสีแดง ทายว่า จะหมดเคราะห์หมอดทุกข์ ถ้าป่วยจะหาย ถ้าปกติดีจะได
21,กล้องถ่ายรูป,ฝันเห็นกล้องถ่ายรูป หรือการถ่ายรูป ทายว่า จะต้องโยกย้ายสถานที่อยู่หรือที่ทำงาน หรืออาจมีเรื่องยุ่งยา
22,กล้วย,ฝันเห็นต้นกล้วย ทำนายว่า จะได้รับโชคลาภจากการเสี่ยงโชค
25,ขนม,ฝันเห็นขนม หรือได้กินขนมต่าง ๆ ทายว่า จะเสียของมีค่าหรือถูกขโมยทรัพย์สิน หรือมิฉะนั้นจะเจ็บไข้ได้ป่ว
167,ตกบ่อ,ฝันว่าตนเองตกลงไปในบ่อหรือในหลุมโคลนที่มีหนอนไส้เดือนอยู่ เป็นที่สกปรก ทายว่า จะได้ลาภทางการเสี่ยงเป
29,ขึ้นต้นไม้,ฝันว่าตนเองได้ขึ้นต้นไม้ มีอาการเหนื่อยหอบทุลักทุเล แต่ปีนไปอยู่บนต้นไม้ได้ ทายว่า การงานที่คิดไว้จะ
30,ตกจากที่สูง,ฝันว่าถูกลมหอบไป หรือฝันว่าตกลงมาจากที่สูง ทายว่า จะได้รับความผิดหวังหรือจะได้รับเคราะห์จากอาการเจ็บ
31,ขอทาน,ฝันเห็นขอทาน หรือให้ขวาน หรือว่าให้สิ่งของกับขอทาน ทายว่า ฝันนี้จะหมดเคราะห์หรือหมดทุกข์ ที่ป่วยจะหา
32,ขวาน,ฝันเห็นขวานหรือได้จับขวาน หรือมีใช้อาวุธต่าง ๆ ทายว่า จะมีศัตรูคิดปองร้าย แต่จะเป็นเพียงชั่วระยะหนึ่
33,ขอนไม้,ฝันเห็นขอนไม้ลอยน้ำมา ทายว่า จะมีลาภใหญ่หลวงในหน้าที่การงาน
34,ขนสัตว์,ฝันเห็นเสื้อผ้าที่ทำด้วยขนสัตว์ หรือได้สวมใส่ ทายว่า จะได้รับทุกข์หรือเคราะห์จากศัตรูที่คิดร้าย หรือ
38,ขวด,ฝันเห็นขวดแก้ววางเรียงราย หรือขวดใส่น้ำเต็ม จะได้ความสุขในชีวิต ทายว่า จะได้รับของหรือได้ทำงานอันมีเ
39,โซ่คล้า,ฝันว่าถูกใส่โซ่คล้า ทายว่า ถ้าเป็นข้าราชการทหารหรือตำรวจ จะได้รับการเลื่อนยศ ถ้าทำการค้าจะเจริญรุ่งเ
35,ขึ้นบันได,ฝันว่าเดินขึ้นบันได หรือ ไต่ขึ้นที่สูง ทายว่า การงานที่ทำกำลังไปได้ดี หรือได้เลื่อนประจำ ทำให้การทำง
36,แขนขา,ฝันเห็นแขนขาของคนที่ขาดอยู่กลางถนน หรือแขนขาของตนเองที่แยกออกจากตนเอง ทายว่า จะได้รับความสุข โรคภัยท
40,เขียนหนังสือ,ฝันว่าเขียนหนังสือด้วยมือซ้าย ไม่ถนัด ทายว่าจะมีคดี ต้องหาผู้คอยปกป้อง ถ้าเป็นทนายความ ทายว่าจะแพ้คด
41,เข็มเย็บผ้า,ฝันว่าได้จับเข็มเย็บผ้า หรือ ได้เห็นเข็ม ทายว่า หญิงที่มีสามีจะตั้งครรภ์ แต่ถ้าเป็นหญิงโสดและชายโสด 
184,ตัดหัว,ฝันเห็นคนถูกตัดหัว หรือตนเองถูกตัดศีรษะทายว่า จะได้เลื่อนตำแหน่งหน้าที่การงาน หรือมีอำนาจเพิ่มขึ้น
523,ลูกแมงป่อง,ฝันถึงลูกแมงป่อง (แมลงกิ้งก่า) ทำนายว่าจะเกิดความทุกข์ร้อน หรือเศร้าโศกเศร้าใจได้ง่าย หรือความเจ็บระ
45,คลอดบุตร,ฝันเห็นหญิงมีครรภ์ หรือคลอดบุตรหรือฝันว่าตัวท่านเองคลอดบุตร ความฝันนี้จะบอกเหตุให้รู้ว่า งานที่ท่านค
47,โคลน,ฝันว่าได้ลุยโคลน หรือ เหยียบย่ำโคลนติดเท้าขึ้นมา ความฝันนี้จะบอกเหตุให้รู้ว่า จะเกิดทุกข์เพราะโรคภัย
48,ควันไฟ,ฝันเห็นควันไฟสีขาวลอยพุ่งขึ้นไปสู่ท้องฟ้า หรือควันจากไฟเป็นสีดำครึ้ม แต่ไม่มีแสงไฟ ทายว่าจะต้องได้รั
49,คลอง,ฝันเห็นคูน้ำหรือลำคลอง หรือเดินทางด้วยเรือไปทางลำน้ำลำคลอง น้ำใสไหลเซาะแสงงาม ทายว่าจะได้รับความสุข 
50,เครื่องบิน,ฝันเห็นเครื่องบินบนท้องฟ้า ทายว่าจะได้รับข่าวดีจากญาติพี่น้องที่อยู่ห่างไกล หรือได้รับข่าวดีจากหน้าท
51,เครื่องแต่งตัว,ฝันเห็นเครื่องแต่งตัว เสื้อผ้าอาภรณ์ หรือเครื่องประดับต่าง ๆ หรือฝันว่า ได้แต่งเสื้อผ้าอาภรณ์ใหม่ ถ้
52,เครื่องดนตรี,ฝันเห็นเครื่องดนตรี เช่น ปี่ หรือ ไวโอลิน แต่มิได้เอาขึ้นมาเป่า หรือสี ทายว่า จะได้รับชื่อเสียงและคว
53,คราด,"ฝันเห็นคราด, จอบ, เสียม เครื่องมือทำสวนครัว หรือฝันว่าได้จับต้อง จะได้รับผลสำเร็จจากหน้าที่การงาน หร"
44,ค้างคาว,ฝันเห็นค้างคาวบิน หรือเกาะอยู่บนกิ่งต้นไม้ หรือในบริเวณบ้าน ทายว่า จะได้รับความสุข ถ้าป่วยเจ็บจะหาย 
46,แคร่หาม,ฝันเห็นคนแห่แคร่หามศพไปฌาปนกิจ หรือตนเองได้เข้าไปแห่แคร่ในงานศพ ทายว่า จะได้รับเคราะห์หนักถึงเสียข้า
188,ตาข่าย,ฝันว่าได้จับตาข่าย หรือเอาตาข่ายไปจับกุ้งจับปลา หรือจับสัตว์ได้ ทายว่า จะได้ลาภจากการค้าหรือการเสี่ย
600,หนู,ฝันว่าหนูเข้ามาจับอยู่ในเรือน หรือได้จับหนู ทายว่า จะได้งดจากการเสี่ยง หรือจากคลอ ฝันว่า หนูสีขาว จะ
57,เครื่องครัว,ฝันเห็นครัว หรือเครื่องครัว เช่น เตาไฟ หรือภาชนะหุงต้ม ทายว่า จะได้โยกย้ายหรือเปลี่ยนที่อยู่ใหม่ดีกว
58,ค้อน,ฝันเห็นค้อนตอกตะปู หรือมีผู้นำเอาค้อนมายื่น ทายว่า จะมีศัตรูคิดร้าย หรือทำให้ต้องเสียทรัพย์สิน จึงร่
59,คางคก,ฝันเห็นคางคก ทายว่าจะมีเรื่องทะเลาะวิวาทหมางเมินกับคนในครอบครัว หรือในที่ทำงาน ถึงเลือดตกยางออก หรือ
60,โคมตะเกียง,ฝันเห็นคนถือโคมตะเกียงเดินผ่านหน้า หรือฝันว่าได้ถือโคมตะเกียง มีคนนำหน้าพาเราเดินไป ทายว่าได้รับข่าว
56,เครือญาติ,ฝันเห็นเครือญาติ หรือพี่น้องที่จากกันไปไกล ฝันนี้จะบอกเหตุทั้งทางดีและทางร้ายที่เกี่ยวกับเครือญาติ ห
61,คุกตะราง,ฝันว่าได้เข้าไปในคุกตะรางเองหรือฝันว่าตัวเองถูกพาตัวเข้าไปในห้องขัง ทายว่า จะพ้นเคราะห์ หรือมีโชคลาภ
62,ครกสาก,ฝันเห็นครกสากในครัว หรือครกสากตำข้าวในลานบ้าน ทายว่า จะได้รับทั้งข่าวดีและข่าวร้ายจากญาติมิตร
63,คานพาด,ฝันว่า คานเป็นผู้หญิงจะหมายถึงฐานะของเราทายว่า จะได้รับเลื่อนตำแหน่งหน้าที่ในการงาน เป็นฝันดีมีลาภหร
64,มาตกรรม,ฝันเห็นการฆาตกรรม หรือเห็นคนวิวาททำร้ายกันถึงตาย หรือตนเองถูกฆ่าแต่กลับฟื้นขึ้นมาได้ ทายว่าจะพ้นเครา
66,ฆ้อง,ฝันเห็นฆ้อง หรือได้ตีฆ้อง ตีระฆัง ทายว่าจะได้รับชื่อเสียงในหน้าที่การงาน หรือได้เลื่อนตำแหน่งหน้าที่
116,ช้อนชาม,ฝันเห็นช้อนหรือชามจาน ถ้าเป็นคนมีครอบครัวแล้ว ทายว่า จะได้บุตรหรือสัตว์เลี้ยง หรือมีมรดกได้งานเป็นหล
148,ดิน,ฝันว่าได้กินก้อนดิน หรือจับก้อนดิน ทายว่าจะได้ลาภทางการเงินจากมิตรสนิทหรือคนใกล้ชิด
582,สำลี,ฝันเห็นสำลีหรือปุยนุ่น หรือได้รับข้าวของดีมาก ใส่หรือทับมาได้สำลี ทายว่า จะได้รับความจากญาติดีพวกญี่
198,ตู้เซฟ,ฝันเห็นตู้เซฟหรือดูตู้เหล็กใส่เอกสาร ในฝันนั้น ได้เปิดตู้ทำนายว่าจะได้รับข่าวดีจากทางไกลหรือจะได้เลื
68,ฆ่าตัวเอง,ฝันว่าฆ่าตัวเอง แต่มีผูมาช่วยเหลือ ทายว่าจะได้รับทุกข์ เพราะตนเอง หรือได้รับความเดือดเนื้อร้อนใจเกี่
69,โฆษณา,ฝันว่าตนทำหน้าที่โฆษก หรือป่าวร้องโฆษณาทายว่า งานที่ทำดำรงทำอยู่อาจล้มเหลว
73,งาช้าง,ฝันเห็นงาช้างคู่ หรือได้จับต้องงาช้าง ทายว่าจะได้โชคลาภอย่างใหญ่หลวง ถ้าค้าขายจะประสบความร่ำรวยเห็นผ
74,งานศพ,ฝันว่าได้ไปร่วมพิธีในงานศพ หรือเห็นผู้คนพลุกพล่านในงานศพทายว่าจะได้รับข่าวดีเกี่ยวกับหน้าที่การงานหร
75,งานพิธีต่างๆ,ฝันว่าได้ไปร่วมในงานพิธีต่างๆ เช่น งานบวชนาค หรืองานโกนจุก งานบีธีเพิ่มเติมของเพื่อนฝูง ทายว่าจะได้ร
76,เฆี่ยง,ฝันว่าถูกเฆี่ยงเบ็ดเกี่ยวเนื้อ หรือถูกเฆี่ยงปลาทายว่า จะได้รับเคราะห์จากหน้าที่การงานหรือเพื่อนฝูง ถ
77,เงา,ฝันเห็นเงาตนเองในน้ำ หรือในกระจกส่องหน้า หรือสามวันดีสี่วันไข้ อดแอดอยู่ระยะหนึ่ง เมื่อพ้นเคราะห์แล้
104,เจ็บป่วย,ฝันว่าป่วยเจ็บ หรือรับความเจ็บป่วยมาจากผู้อื่น ทายว่า จะได้รับความยินยอมทางใจ หรือจะได้รับความเดือดร
117,ชกต่อย,ฝันเห็นการชกต่อย หรือการทะเลาะวิวาท หรือตนเองวิวาทกับผู้อื่นในฝัน ทำนายว่า จะได้รับเคราะห์จากการเจ็บ
215,ถุงเท้า,ฝันเห็นถุงเท้าใหม่หรือเครื่องนุ่งห่มใหม่ หรือได้สวมถุงเท้าใหม่ ทายว่า ถ้าชายที่มีครอบครัวแล้วก็จะได้
78,งมของ,ฝันว่าได้ลงไปงมของในน้ำ หรือเอามืองมของในท้องร่อง ท่อ คูคลอง ทายว่า จะได้รับเคราะห์หากนายหน้า หรือนา
79,จานชาม,ฝันเห็นจานชามหรือถ้วยจาน หรือได้จับต้อง ทายว่า ถ้าเป็นคนมีครอบครัวแล้ว อาจจะมีลูก ถ้าเป็นคนโสดหรือคน
81,จอมปลวก,ฝันเห็นจอมปลวกขึ้นภายในบ้าน ทายว่า จะมีโชคลาภใหญ่หลวง ถ้าเป็นข้าราชการหรือคนทำงานจะได้เลื่อนตำแหน่งห
82,จดหมาย,ฝันว่าได้รับจดหมาย ทายว่า จะได้รับทั้งข่าวดีและลาภยศในระยะเร็ววัน ถ้าเป็นซองจดหมายสีขาว จะได้
83,จอมเสียม,ฝันเห็นจอบหรือเสียม หรือเครื่องมือทางเกษตร ถ้าได้จับต้องจะได้รับผลสำเร็จทั้งในหน้าที่การงานหรือการค้
84,จลาจล,ฝันเห็นการจลาจลภายในบ้านเมือง มีการใช้อาวุธโรมรันกัน ทายว่าจะได้รับทั้งโชคและเคราะห์ในเวลาไล่เลี่ยกั
85,จมน้ำ,ฝันเห็นคนตกน้ำทำท่ากำลังจะจมมิมิแหล้ หรือฝันว่าตนเองตกน้ำหรือจมน้ำ ทายว่า จะได้รับเคราะห์หนัก ถ้าเป็
86,จังหวะ,ฝันเห็นจังหวะหรือได้ยินเสียงจังหวะทักในฝัน ทายว่า จะได้รับข่าวดีจากการงาน หรือลาภทางการเสี่ยงโชคเล็ก
87,จรวด,ฝันเห็นจรวดยาน หรือจรวดดอกไม้ไฟพุ่งขึ้นไปสู่ท้องฟ้า ทายว่า จะได้รับข่าวร้ายของญาติพี่น้องที่อยู่ต่าง
88,จักรยาน,ฝันเห็นจักรยานหรือได้ขี่จักรยาน ทายว่า จะต้องเดินทางไกล หรือมีการโยกย้ายที่อยู่ หรือหน้าที่การงาน
89,จันทร์จรดฟ้า,(ดู ครราส' อักษร จ.)
90,จิ้งหรีด,ฝันเห็นจิ้งหรีดกัดกัน หรือได้จับจิ้งหรีด ทายว่า จะได้รับเคราะห์จากผู้มีอำนาจน้อยกว่า หรืออุบัติเหตุภ
645,กษัตริย์,ฝันเห็น องค์เจ้าแผ่นดินหรือพระราชินี ท่านจะได้เลื่อนตำปแหน่งยศทางการ หรือในตำแหน่งหน้าที่การงานทั่วไ
614,หน้าต่าง,ฝันเห็นหน้าต่างเปิด มีแสงสว่างของดวงอาทิตย์หรือดวงจันทร์ส่องเข้ามา หมายว่า การที่คิดไว้ จะผลสำเร็จ ห
594,หมา,หญิงชายได้ฝันว่าถูกลิงหรือหมากัด ทายว่า จะเคราะห์ร้าย หรือได้รับเคราะห์ร้ายกดคู่รู้หรือจากคนใกล้ชิด 
96,จันทน์,ฝันเห็นหรือได้รับลูกจันทน์ผลไม้มีกลิ่นหอม หรือ ลูกอินทผลัม ผลสุขกลิ่น ทายว่า ถ้าเป็นคนมีครอบครัวแล้ว
97,จักจั่น,ฝันถึงจักจั่นหรือแมลง หรือฝันว่าได้ยินเสียงจักจั่นร้องในพงหญ้า ทายว่า กิจการที่กำลังทำอยู่นั้นจะมีอุ
98,จุดไฟ,ฝันว่าจุดไฟติดง่ายและลุกโพลงดี ทายว่า คนที่แต่งงานแล้ว จะได้บุตรแข็งแรงและสมบูรณ์ และถ้าฝันว่าจุดไฟแ
100,จับเจ่า,ฝันว่าตนเองนั่งจับเสียงคนเดียวในที่เสี่ยงภัย หรือนั่งอยู่แต่ลำพังคนเดียว ทายว่า จะต้องมีการโยกย้ายที
103,จุฬามณี,ฝันเห็นพระจุฬามณี หรือพระธาตุเจดีย์บรรจุพระเกศาธาตุพระพุทธเจ้า (ตามความรู้สึกในฝันว่าเป็นพระจุฬามณี 
92,จักรพรรดิ,ฝันเห็นจักรพรรดิ หรือพระเจ้าแผ่นดินต่างประเทศ ทายว่าจะได้เดินทางไกลหรือผู้ใหญ่ต่างชาติจะช่วยเหลือ หร
93,เจดีย์,ฝันเห็นองค์พระเจดีย์ หรือพระปรางค์ หรือสถูปยอดสูง ๆ ทายว่า จะเป็นมงคลแก่ตัวเอง ถ้าเป็นข้าราชการหรือค
95,จักรเย็บผ้า,ฝันเห็นจักรเย็บผ้า หรือได้จับจักร หรือมีคนนำเอาจักรเข้ามาในบ้าน จะต้องโยกย้ายหน้าที่การงานหรือเคหสถา
99,จับ,ฝันว่าถูกจับ หรือถูกจองจำ ทายว่า จะพ้นเคราะห์หรือจะมีโชคลาภจากการเสี่ยง (ในตำราก็ให้อธิษฐานต่างๆ ถ้า
102,จำปา-จำปี,ฝันว่าได้ดอกจำปี หรือดอกจำปา ทายว่าเป็นความฝันดี ผู้ฝันจะได้รับความสุขกายสบายใจในครอบครัว หรือได้รับ
217,ถูกล็อตเตอรี่,ฝันว่าตนเองมีโชคถูกล็อตเตอรี่ ทายว่า จะต้องมีการเสียเงินเสียทอง และมีเรื่องเดือดร้อนเกี่ยวกับการขึ้น
632,อุบัติเหตุ,ฝันว่าเกิดอุบัติเหตุขึ้น หมายความว่าเป็นลางดี จะมีความสุขสบายแล้วหรือจะให้ญาติดีที่ต้องมาช่วยเหลือ เ
536,วัวควาย,ฝันว่าทะเลาะวิวาท กับคนแปลกหน้า ทำนายว่า จะได้รับข่าวทางไกลจากญาติมิตร ถ้าเห็นคนวิวาทที่ชั่วร้าย กัน
112,ฉางข้าว,ฝันเห็นฉางข้าวบรรจุข้าวเต็มลิง หรือเต็มยุ้ง ทายว่า จะได้รับความสุขสมบูรณ์ทางร่างกายและจิตใจ ที่ป่วยไ
108,ฉัตรเงิน,ฝันเห็นฉัตรเงิน หรือพระที่นั่งภายใต้ฉัตรทอง หรือสัตว์ที่นั่งอยู่ใต้ฉัตรเงินฉัตรทอง ทายว่า อนาคตในระย
109,ฉมวก,ฝันเห็นฉมวกหรือสามงามแทงปลา หรือได้ถือ จะได้รับโชคทางการเงินที่มั่นคง ถ้าเป็นการค้า จะได้รับผลกำไรเป
114,ฉ้อโกง,ฝันว่าถูกฉ้อโกง หรือถูกคนต้มตุ๋น ฉ้อฉลสิ่งของมีค่า ทายว่า จะมีเคราะห์ หรือมีคนคิดปองร้าย ให้ระวังตัว
107,ฉิ่งฉาบ,ฝันเห็นฉิ่งฉาบ หรือได้ตีฉิ่งมีการงานเสียงเพราะในฝัน ทายว่ากำลังจะได้รับโชคดี ถ้าเป็นคนมีครอบครัวแล้ว
110,ฉลองพระบาท,ฝันเห็นฉลองพระบาท หรือรองเท้าของพระเจ้าแผ่นดิน หรือเป็นสัญลักษณ์ของรูปรองเท้าตรัสว่าผู้ฝันจะได้รับโช
111,ฉลอง,ฝันเห็นงานฉลอง หรือวงงานมงคลที่มีผู้คนไปร่วมอยู่ในงานมากๆ ทายว่า ถ้าผู้ฝันเป็นคนฐานะยากจนจะยิ่งยากจน
113,ฉาก,ฝันเห็นฉากกั้น หรือมีม่านกั้นบังสิ่งใดสิ่งหนึ่ง ทายว่า จะมีคนที่หวังแกล้งและหาโอกาสโกงทรัพย์สินจากคน
119,ซ่า,ฝันเห็นคนซ่า หรือคนซ่าส่าย ทายว่า การงานที่กำลังเริ่มจะทำนั้น จะมีอุปสรรคขัดขวาง แต่จะได้รับผลสำเร็จ
123,ซ้อมผม,ฝันเห็นซ้อมผมหรือวิกผม หรือได้ใส่วิก หรือซื้อบนหนัสรอย จะได้รับเคราะห์หรือเครื่องการ หรือมีเรื่องพัน
124,เชิงตะกอน,ฝันเห็นเชิงตะกอนเผาศพ แต่ไม่มีศพ ทายว่า จะได้รับเคราะห์ทางการเจ็บป่วยหรืออุบัติเหตุในการเดินทาง ถ้าใ
125,ชักลาก,ฝันว่าได้ฉุดชักลากรถรบรรทุกของหนัก หรือฉุดลากสัตว์ ทายว่า การงานที่ทำอยู่จะต้องเปลี่ยนแปลงหรือโยกย้า
126,ชี,ฝันถึงผู้ทรงศีลบริสุทธิ์ จะเป็นชีไทยหรือจีนในศาสนาคริสต์ก็ตาม ทายว่า จะได้รับความสุข หรือของที่สูญหา
121,ชนไก่,ฝันเห็นไก่ชน หรือการชนไก่กลางลานบ้านหรือภายในบ้าน ทายว่า จะได้รับการเสียหายจากทรัพย์สินภายในบ้าน หรื
122,ชลธาร,ฝันเห็นทะเลสาบ ร่องน้ำ หรือลำคลอง หรือน้ำตก ทายว่า จะได้ความสุข หรือมีการเดินทางไกลไปในทางดี ถ้าเจ็บ
127,เชิงเทียน,ฝันเห็นเชิงเทียน หรือฝันว่าได้จับเชิงเทียนถ้ามีเทียนจุดอยู่ด้วย ทายว่า จะได้รับความสำเร็จในกิจการต่า
128,เชือก,ฝันว่าได้จับเชือก หรือถือเชือกฉุดลากสิ่งใดสิ่งหนึ่งหรือพันธนาการตัวเองอยู่ ทายว่า จะถูกเนรเทศให้ไปอย
129,โซ่ตรวน,ฝันเห็นโซ่ตรวนหรือถูกโซ่ตรวนผูกมัด ทายว่า จะได้รับเคราะห์ร้ายจากญาติมิตรหรือสหาย หรือเคราะห์ที่เกิดจ
130,แซ่ (แส้),ฝันว่าถูกตีด้วยแซ่ เจ็บปวดและมีโลหิตไหลออกจากกายเรา ทายว่า จะได้รับทุกขลาภ ที่ป่วยเจ็บจะหาย แต่ต้องเ
131,ซุง,ฝันเห็นท่อนซุง หรือท่อนไม้ขนาดใหญ่ลอยน้ำ ทายว่า จะต้องเดินทางไกลหรือโยกย้ายหน้าที่ แต่จะมีลาภทางไกล
227,ทหาร,ฝันเห็นเครื่องแบบทหาร หรือเห็นแถวทหาร ทายว่า จะได้เลื่อนตำแหน่งหน้าที่การงานหรือมีอำนาจวาสนาขึ้น
228,ทะเล,ฝันลงเล่นน้ำในทะเล ทายว่า จะอยู่เย็นเป็นสุขและมีโชคลาภในการเสี่ยง
80,จระเข้,ฝันเห็นจระเข้ หรือถูกจระเข้ทำร้าย ทายว่า จะได้รับเคราะห์จากศัตรู หรือมีผู้คิดร้าย คอยทำร้ายหรือถึงกา
140,หญิง,ฝันเห็นหญิงแปลกหน้า ไม่เคยรู้จักมาก่อน ทายว่า การงานการเงินของท่านจะมีผู้หญิงเข้ามาเกี่ยวข้อง และเป็
143,หญิงชรา,หญิงชายใดก็ตาม ถ้าฝันเห็นหญิงชราแก่สูงอายุ ทายว่าจะมีเคราะห์ร้ายเกิดความวุ่นวาย ในเรื่องการบ้านการงา
133,ซื้อขาย,ฝันเห็นคนมุงซื้อขาย หรือตนเองได้จับจ่ายซื้อของใช้ต่าง ๆ ทายว่า จะได้รับข่าวจากญาติมิตรที่อยู่ห่างไกล
135,เซิ้ง,ฝันเห็นการเต้นรำทำเพลงอย่างสนุกสนาน ถ้าเป็นหญิง ทายว่า จะได้ลาภเล็ก ๆ น้อย ๆ จากการวิ่งเต้น ถ้าเป็นช
137,ข้าว,ฝันเห็นข้าวแช่อยู่ในน้ำในภาชนะหุงต้ม ถ้าเป็นผู้หญิง ทำนายว่าจะได้รับข่าวดี หรือมีโชคลาภทางหน้าที่การ
139,ซ่อนหา,ฝันว่าเล่นซ่อนหา หรือการเล่นหลบซ่อนกับเพื่อนฝูง ทำนายว่า จะเกิดการแตกร้าวสามัคคี หรือมีเรื่องบาดหมาง
141,หญิงเปลือย,ฝันเห็นหญิงเปลือยกาย ถ้าผู้นั้นเป็นชาย ได้จับต้องลูบคลำในฝัน ทายว่าจะได้รับความเดือดร้อนในการเงินหรื
142,หญิงแต่งชุดสีต่าง ๆ,ฝันเห็นหญิงแต่งชุดดำ ทายว่าจะมีศัตรูคิดปองร้าย ฝันเห็นหญิงแต่งชุดขาว ทายว่าจะได้ประสบความร่มเย็น ฝัน
144,เด็ก,ฝันเห็นเด็กทารก ขาวอวบสมบูรณ์ ฝันนี้จะบอกเหตุให้รู้ว่า จะได้ลาภในการเงินหรือได้บุตรในเร็ววัน
145,ดอกไม้,ฝันเห็นดอกไม้จำพวกกุหลาบ เบญจมาศ ซบาหรือดอกบัว (ยกเว้นเฉพาะดอกช่อดอกลิ้นฟ้า) ทำนายว่า จะได้รับข่าวมง
