dream_id,dream_keyword,dream_interpretation
12,กงเต็ก,ฝันเห็นพิธีกงเต็กในงานศพ หรือได้เห็นเครื่องกงเต็ก ทายว่า จะหมดเคราะห์หมดทุกข์ ถ้าป่วยก็จะหายในเร็ววัน ถ้าปกติก็จะได้ลาภหรือยศ แต่จะมีอันต้องเสียญาติผู้ใหญ่หรือบิดา
13,กระเป๋า,ฝันเห็นกระเป๋าใส่เงิน หรือกระเป๋าใส่เสื้อผ้าเดินทาง ทายว่า จะได้เลื่อนตำแหน่งหน้าที่ในการงาน หรือมีการเปลี่ยนแปลงโยกย้ายไปในทางดี
14,กระท่อม,ฝันเห็นกระท่อม หรือกระต๊อบหลังเล็ก ๆ กลางทุ่ง ไม่มีคนอยู่อาศัย ทายว่า จะต้องมีการเดินทางไกลหรือต้องถูกโยกย้ายไปในทิศทางไกลจากเดิม ถ้าฝันว่าอยู่ในกระท่อมจะมีลาภเป็นเวลานาน
15,กระดิ่ง,ฝันเห็นกระดิ่ง หรือได้ยินเสียงกระดิ่ง หรือระฆัง และในฝันมั่นใจว่าเป็นเสียงกระดิ่งหรือระฆังแน่นอน ทายว่า จะได้รับข่าวดีจากทางไกล หรือโชคลาภในทางเสียงจะบังเกิดขึ้นในเร็ววัน
16,กระบอก,ฝันเห็นกระบอกไม้ไผ่ หรือท่อนไม้เป็นลำใหญ่ ๆ สำหรับตัดมาทำกระบอก ทายว่า จะได้รับอุบัติเหตุจากการเดินทาง หรือจะต้องได้รับข่าวร้ายจากญาติมิตรหรือเพื่อนฝูงทางไกล
17,กริช,ฝันเห็นกริช (มีดสองคม) หรือกัณหยั่น (มีดสองคมของจีนที่เขียนเป็นหน้าสิงโต) ทายว่าจะหมดเคราะห์ที่มี ป่วยจะหาย หรือการเป็นโรคจะดีขึ้น
18,กำแพง,ฝันเห็นกำแพงยาว และกำแพงสูงใหญ่ ๆ ทายว่า การที่คิดไว้จะมีอุปสรรค และมีคนคอยขัดขวาง ถ้าฝันว่าตนเองปีนกำแพงข้ามไปยังกำแพงอีกข้างหนึ่งได้ ทายว่าจะมีโชคลาภ และการงานที่คิดไว้หรือกำลังทำอยู่จะประสบผลสำเร็จงดงาม แต่จะต้องมีความมานะขยันอดทน
19,เกากันต์,ฝันเห็นเกากันต์ หรือธนู หรือหน้าม้า ทายว่า จะมีลาภ หรือได้ร้บข่าวเกี่ยวกับญาติมิตรทางไกล
20,โกนุท,ฝันเห็นดอกบัวตูมหรือโกนุท ได้เก็บดอกบัวสีแดง ทายว่า จะหมดเคราะห์หมอดทุกข์ ถ้าป่วยจะหาย ถ้าปกติดีจะได้ลาภเป็นข้าวของเงินทอง
21,กล้องถ่ายรูป,ฝันเห็นกล้องถ่ายรูป หรือการถ่ายรูป ทายว่า จะต้องโยกย้ายสถานที่อยู่หรือที่ทำงาน หรืออาจมีเรื่องยุ่งยากทางครอบครัว ทำให้ต้องแยกทางเดิน
22,กล้วย,ฝันเห็นต้นกล้วย ทำนายว่า จะได้รับโชคลาภจากการเสี่ยงโชค
23,เกี่ยวข้าว,ฝันว่าได้ไปเกี่ยวหรือเก็บข้าวในนา หรือฝันเห็นชาวนา กำลังเกี่ยวข้าวอยู่ในนา ในทุ่งนา ทำนายว่า การที่คิดไว้จะไม่บรรลุผลสมประสงค์ หรือถ้าสำเร็จก็จะกินเวลานานเนิ่นนาน
24,ก้างปลา,ฝันว่าได้เห็น หรือได้เกี้ยวกินก้างปลา ทำนายว่า จะเกิดอุปสรรครบตัวของกิจการที่กำลังทำอยู่ แต่ในที่สุดจะตัดอุปสรรคเหล่านั้นได้ในไม่ช้า
25,ขนม,ฝันเห็นขนม หรือได้กินขนมต่าง ๆ ทายว่า จะเสียของมีค่าหรือถูกขโมยทรัพย์สิน หรือมิฉะนั้นจะเจ็บไข้ได้ป่วยหนัก
26,ขี้,ฝันเห็นอุจจาระหรือขี้ หรือได้จับขี้ หรือตัวเองถ่ายอุจจาระ ทายว่า ผู้นั้นจะมีเคราะห์ จะมีเรื่องเสื่อมเสียในทางชื่อเสียง หรือถูกคนนินทากล่าวร้ายป้ายสี
27,ขี่,ฝันว่าได้ขี่ม้า หรือขี่วัวควาย แล้วตกลงมา ความฝันนี้บอกเหตุให้รู้ว่า ท่านจะได้รับภัยอันตรายจากศัตรู หรือสัตว์ร้ายที่มีพิษ ถ้าฝันว่าขี่ธรรมดา ทายว่า จะต้องมีการเดินทางหรือโยกย้ายที่ทำงาน ต้องพลัดพรากจากที่เดิม
28,ข่าวสาร,ฝันว่าได้รับฟังข่าวสารกะทันหัน หรือข่าวนั้นทำให้สะดุ้งตกใจตื่นขึ้นจากฝัน ทายว่า ผู้นั้นจะได้รับข่าวหรือได้พบกับญาติมิตรลูกหลานที่จากกันไปช้านานโดยไม่คาดฝัน
29,ขึ้นต้นไม้,ฝันว่าตนเองได้ขึ้นต้นไม้ มีอาการเหนื่อยหอบทุลักทุเล แต่ปีนไปอยู่บนต้นไม้ได้ ทายว่า การงานที่คิดไว้จะเป็นผลสำเร็จ แม้จะมีอุปสรรคก็ผ่านพ้นไปได้
30,ตกจากที่สูง,ฝันว่าถูกลมหอบไป หรือฝันว่าตกลงมาจากที่สูง ทายว่า จะได้รับความผิดหวังหรือจะได้รับเคราะห์จากอาการเจ็บป่วย
31,ขอทาน,ฝันเห็นขอทาน หรือให้ขวาน หรือว่าให้สิ่งของกับขอทาน ทายว่า ฝันนี้จะหมดเคราะห์หรือหมดทุกข์ ที่ป่วยจะหาย ที่โสดจะได้มีโชคลาภในทางการงานหรือหน้าที่
32,ขวาน,ฝันเห็นขวานหรือได้จับขวาน หรือมีใช้อาวุธต่าง ๆ ทายว่า จะมีศัตรูคิดปองร้าย แต่จะเป็นเพียงชั่วระยะหนึ่งแล้วก็จะลายไป ให้ระวังในชั่วระยะ 3-7 วัน
33,ขอนไม้,ฝันเห็นขอนไม้ลอยน้ำมา ทายว่า จะมีลาภใหญ่หลวงในหน้าที่การงาน
34,ขนสัตว์,ฝันเห็นเสื้อผ้าที่ทำด้วยขนสัตว์ หรือได้สวมใส่ ทายว่า จะได้รับทุกข์หรือเคราะห์จากศัตรูที่คิดร้าย หรือมีโรคภัยไข้เจ็บมาเบียดเบียน
35,ขึ้นบันได,ฝันว่าเดินขึ้นบันได หรือ ไต่ขึ้นที่สูง ทายว่า การงานที่ทำกำลังไปได้ดี หรือได้เลื่อนประจำ ทำให้การทำงานมีความก้าวหน้า แต่ถ้าฝันเห็นควันไฟเข้ามาในบ้าน หรือคอยขัดขวาง ทำให้เป็นอุปสรรคไปได้ระยะหนึ่ง
36,แขนขา,ฝันเห็นแขนขาของคนที่ขาดอยู่กลางถนน หรือแขนขาของตนเองที่แยกออกจากตนเอง ทายว่า จะได้รับความสุข โรคภัยทุกอย่างหาย หมด หรือมิฉะนั้นจะต้องพลัดพรากจากบ้าน
37,ขนตา,ฝันว่าขนตาตนเองงอกงาม ทายว่าจะเป็นนิมิตรมงคลสำหรับคนทุกคน เป็นหญิงจะได้รับชื่อเสียงและการยกย่องไปในทางดี เป็นชายจะทำกิจการเจริญยิ่งขึ้น แต่ฝันว่าขนตาร่วงหรือขนตาหลุดออกมา ทายว่า จะโชคร้าย ตรงกันข้ามกัน
38,ขวด,ฝันเห็นขวดแก้ววางเรียงราย หรือขวดใส่น้ำเต็ม จะได้ความสุขในชีวิต ทายว่า จะได้รับของหรือได้ทำงานอันมีเกียรติ ถ้าฝันว่าขวดเปล่า จะถูกหลอกลวง หรือถูกขโมยทรัพย์สิน ถ้าฝันเห็นขวดแตกกระจาย จะเกิดการทะเลาะวิวาท
39,โซ่คล้า,ฝันว่าถูกใส่โซ่คล้า ทายว่า ถ้าเป็นข้าราชการทหารหรือตำรวจ จะได้รับการเลื่อนยศ ถ้าทำการค้าจะเจริญรุ่งเรืองขึ้นอย่างฉับพลัน
40,เขียนหนังสือ,ฝันว่าเขียนหนังสือด้วยมือซ้าย ไม่ถนัด ทายว่าจะมีคดี ต้องหาผู้คอยปกป้อง ถ้าเป็นทนายความ ทายว่าจะแพ้คดี ถ้าเป็นแพทย์จะได้รับชื่อเสียงเกียรตินิยม
41,เข็มเย็บผ้า,ฝันว่าได้จับเข็มเย็บผ้า หรือ ได้เห็นเข็ม ทายว่า หญิงที่มีสามีจะตั้งครรภ์ แต่ถ้าเป็นหญิงโสดและชายโสด ทายว่า จะถูกยุยงให้แยกจากความสามัคคีกัน แต่ในที่สุด ทายว่า จะหมดเคราะห์ หมดความภัย ถ้ากำลังดำเนินคดีจะได้ชนะ
42,ควาย,ฝันเห็นควาย เดินเข้ามาเดินเพ่นพ่านอยู่ในเขตบ้าน หรือเห็นวัวควายฝูงใหญ่กลางทุ่งนา ทายว่า จะได้รับข่าวร้ายจากญาติมิตรที่อยู่ห่างไกล ถ้าฝันว่าได้ฆ่าวัวควาย จะได้รับความร้อนใจเพราะเสียของรัก หรือญาติมิตรป่วย
43,คนตาย,ฝันเห็นคนตายหรือศพ ส่งกลิ่นเหม็น ทายว่า จะได้ลาภจากเสี่ยงโชคหรือโชคลาภทางค้าขายและหน้าที่การงาน ถ้าฝันว่าคนตายนั้นมีน้ำเหลืองและหนอนตายไข้ยั้วเยี้ย ฝันนั้นจะทำให้โชคลาภสูงขึ้น
44,ค้างคาว,ฝันเห็นค้างคาวบิน หรือเกาะอยู่บนกิ่งต้นไม้ หรือในบริเวณบ้าน ทายว่า จะได้รับความสุข ถ้าป่วยเจ็บจะหาย หรือทุกข์ต่าง ๆ ภายในบ้านจะหมดสิ้นไป
45,คลอดบุตร,ฝันเห็นหญิงมีครรภ์ หรือคลอดบุตรหรือฝันว่าตัวท่านเองคลอดบุตร ความฝันนี้จะบอกเหตุให้รู้ว่า งานที่ท่านคิดไว้จะมีผลสำเร็จ หรือการทำมาค้าขายจะดีขึ้น
46,แคร่หาม,ฝันเห็นคนแห่แคร่หามศพไปฌาปนกิจ หรือตนเองได้เข้าไปแห่แคร่ในงานศพ ทายว่า จะได้รับเคราะห์หนักถึงเสียข้าวของหรือบุตรเจ็บป่วยใหญ่ ถ้าเป็นคดีความจะแพ้คดีอย่างหนัก
47,โคลน,ฝันว่าได้ลุยโคลน หรือ เหยียบย่ำโคลนติดเท้าขึ้นมา ความฝันนี้จะบอกเหตุให้รู้ว่า จะเกิดทุกข์เพราะโรคภัยไข้เจ็บ หรือได้รับสิ่งอกุศลจากเหตุอื่น ๆ ควรระวังให้จงหนัก
48,ควันไฟ,ฝันเห็นควันไฟสีขาวลอยพุ่งขึ้นไปสู่ท้องฟ้า หรือควันจากไฟเป็นสีดำครึ้ม แต่ไม่มีแสงไฟ ทายว่าจะต้องได้รับความเดือดเนื้อร้อนใจ หรือโยกย้ายเปลี่ยนแปลงหน้าที่การงานไปในทางไม่ดี หรือมิฉะนั้นจะต้องหนีออกจากบ้าน
49,คลอง,ฝันเห็นคูน้ำหรือลำคลอง หรือเดินทางด้วยเรือไปทางลำน้ำลำคลอง น้ำใสไหลเซาะแสงงาม ทายว่าจะได้รับความสุข เพราะเรื่องเดือดร้อนและทุกข์ต่าง ๆ จะหมดสิ้นไป ฝันนี้มักจะเกิดขึ้นในขณะมีทุกข์หรือมีการเจ็บไข้
50,เครื่องบิน,ฝันเห็นเครื่องบินบนท้องฟ้า ทายว่าจะได้รับข่าวดีจากญาติพี่น้องที่อยู่ห่างไกล หรือได้รับข่าวดีจากหน้าที่การงาน แต่ยังไม่ได้รับผลสำเร็จหรือโชคลาภทันทีนัก เป็นแต่บอกเหตุการณ์ล่วงหน้าให้รู้ก่อน
51,เครื่องแต่งตัว,ฝันเห็นเครื่องแต่งตัว เสื้อผ้าอาภรณ์ หรือเครื่องประดับต่าง ๆ หรือฝันว่า ได้แต่งเสื้อผ้าอาภรณ์ใหม่ ถ้าเป็นหญิงมีครรภ์ ทายว่า จะได้บุตรหญิงน่ารักใคร่ ถ้าเป็นชายโสดจะได้คู่ หญิงโสดจะได้คู่ที่เป็นชายมีชื่อเสียง
52,เครื่องดนตรี,ฝันเห็นเครื่องดนตรี เช่น ปี่ หรือ ไวโอลิน แต่มิได้เอาขึ้นมาเป่า หรือสี ทายว่า จะได้รับชื่อเสียงและความสำเร็จในหน้าที่การงาน แต่มิใช่เป็นโชคลาภทางเงินทองหรือข้าวของ
53,คราด,"ฝันเห็นคราด, จอบ, เสียม เครื่องมือทำสวนครัว หรือฝันว่าได้จับต้อง จะได้รับผลสำเร็จจากหน้าที่การงาน หรือได้รับการเลื่อนตำแหน่งหน้าที่ การค้าขายจะทำให้ธุรกิจการงานออกไปได้กว้างขวาง"
54,คราส,ฝันเห็นสุริยคราส อากาศมืดครึ้ม แต่ไม่มีฝน ทายว่า เจ้าของฝันจะได้รับความสุข ที่เจ็บก็จะหาย ที่เป็นหนี้จะมีคนช่วยเหลือ ถ้าในฝันมีฝนตกชุ่มฉ่ำ ทายว่าจะได้รับโชคลาภลอยจากการเสี่ยงโชคอย่างหนัก
55,คู่รัก,ฝันเห็นคู่รักหรือคนรัก ได้มีการกอดรัดพูดคุยกันในฝัน ทายว่าจะต้องพลัดคู่จากกัน หรือมีอุปสรรคมาขัดขวางทางรักมิให้สมปรารถนา ถ้าในฝันเป็นคนแปลกหน้าที่บังเอิญไปพบกัน ทายว่าจะมีศัตรูเป็นเพศตรงข้ามคิดร้าย
56,เครือญาติ,ฝันเห็นเครือญาติ หรือพี่น้องที่จากกันไปไกล ฝันนี้จะบอกเหตุทั้งทางดีและทางร้ายที่เกี่ยวกับเครือญาติ หรือได้โชคลาภพอสมควร
57,เครื่องครัว,ฝันเห็นครัว หรือเครื่องครัว เช่น เตาไฟ หรือภาชนะหุงต้ม ทายว่า จะได้โยกย้ายหรือเปลี่ยนที่อยู่ใหม่ดีกว่าเก่า ชายที่มีครอบครัวแล้วจะได้บุตรเป็นหญิงหรือมีภรรยาจะได้เลื่อนตำแหน่งขั้นดีกว่าเก่า
58,ค้อน,ฝันเห็นค้อนตอกตะปู หรือมีผู้นำเอาค้อนมายื่น ทายว่า จะมีศัตรูคิดร้าย หรือทำให้ต้องเสียทรัพย์สิน จึงร่วงระวังตนให้จงหนัก
59,คางคก,ฝันเห็นคางคก ทายว่าจะมีเรื่องทะเลาะวิวาทหมางเมินกับคนในครอบครัว หรือในที่ทำงาน ถึงเลือดตกยางออก หรือมิฉะนั้นก็จะได้รับโรคภัยที่เกี่ยวกับผิวหนังร่างกาย
60,โคมตะเกียง,ฝันเห็นคนถือโคมตะเกียงเดินผ่านหน้า หรือฝันว่าได้ถือโคมตะเกียง มีคนนำหน้าพาเราเดินไป ทายว่าได้รับข่าวดีหรือได้เดินทางไกลไปในหน้าที่ และจะได้รับผลประโยชน์ตอบแทนคุ้มค่าในการเดินทาง
61,คุกตะราง,ฝันว่าได้เข้าไปในคุกตะรางเองหรือฝันว่าตัวเองถูกพาตัวเข้าไปในห้องขัง ทายว่า จะพ้นเคราะห์ หรือมีโชคลาภทางการเสี่ยง
62,ครกสาก,ฝันเห็นครกสากในครัว หรือครกสากตำข้าวในลานบ้าน ทายว่า จะได้รับทั้งข่าวดีและข่าวร้ายจากญาติมิตร
63,คานพาด,ฝันว่า คานเป็นผู้หญิงจะหมายถึงฐานะของเราทายว่า จะได้รับเลื่อนตำแหน่งหน้าที่ในการงาน เป็นฝันดีมีลาภหรือผู้ใหญจะให้ของขวัญมีค่าแก่เรา
64,มาตกรรม,ฝันเห็นการฆาตกรรม หรือเห็นคนวิวาททำร้ายกันถึงตาย หรือตนเองถูกฆ่าแต่กลับฟื้นขึ้นมาได้ ทายว่าจะพ้นเคราะห์ ศัตรูที่คิดร้ายจะกลับมาเป็นมิตรดี และจะมีโชคลาภทางการเสี่ยงโชคด้วย
65,เมียน,ฝันว่าตนเองถูกเมียนด้วยแส้ หรือหวาย ทายว่าจะหมดเคราะห์ ที่ป่วยเจ็บจะหาย ที่มีทุกข์ร้อนการเงินจะมีทางผ่อนชำระ ถ้าฝันว่าตนเองเมียนผู้อื่น ทายว่าจะมีปากเสียงกับคนในบ้านหรือมีเรื่องกลับแปลกหน้าถึงชนาดรุนแรง
66,ฆ้อง,ฝันเห็นฆ้อง หรือได้ตีฆ้อง ตีระฆัง ทายว่าจะได้รับชื่อเสียงในหน้าที่การงาน หรือได้เลื่อนตำแหน่งหน้าที่สูงขึ้น ถ้าเป็นหญิงมีครรภ์ จะได้บุตรชายที่มีอนาคตดี ถ้าเป็นชายโสดจะได้พบหญิงมีฐานะ และเกียรติยศสูงกว่า
67,ฆ่าสัตว์,ฝันว่าได้ฆ่าสัตว์ เช่น วัวควาย หรือสัตว์เลี้ยงภายในบ้าน ทายว่าจะได้รับความร้อนใจ เพราะเสียของรักหรือญาติมิตรภายในบ้าน ถ้าฝันว่าสัตว์จำพวกมีพิษ เช่น งู สุนัขบ้า หรือลือ ทายว่าจะหมดเคราะห์ หรือศัตรูที่คิดร้ายจะแพ้พ่ายเรา เป็นโชคดีความจะชนะ
68,ฆ่าตัวเอง,ฝันว่าฆ่าตัวเอง แต่มีผูมาช่วยเหลือ ทายว่าจะได้รับทุกข์ เพราะตนเอง หรือได้รับความเดือดเนื้อร้อนใจเกี่ยวกับหน้าที่การงาน ได้รับความมัวหมอง เพราะการกระทำของตนเองที่ขาดความยับยั้ง แต่ถ้าฝันว่าตนเองถูกฆ่าจะมีโชคลาภ
69,โฆษณา,ฝันว่าตนทำหน้าที่โฆษก หรือป่าวร้องโฆษณาทายว่า งานที่ทำดำรงทำอยู่อาจล้มเหลว
70,งูรัด,ฝันว่างูรัด หรือเลื้อยย่างพันร่างกาย ทายว่า ถ้าเป็นคนโสดจะได้พบเนื้อคู่ในกะทันหัน ให้สังเกตความฝันว่า ถ้างูกัดส่วนสูงของร่างกาย เช่น รัดคอ รัดบั้นเอวจะได้เนื้อคู่ฐานะดีมีชื่อเสียง ถ้ารัดต่ำลงมาถึงขา ทายว่าจะได้เนื้อคู่ต่ำต้อยกว่าหรือเป็นคนมีครอบครัวแล้ว ในฝันนั้นถ้าได้ใช้มือจับลำตัวงูแล้ว จะทายว่าศัตรูหมายปองผู้ที่เป็นคู่ครองหรือโชคจากอาจารย์ เสียงโชคใหญ่
71,งูกัด,ฝันว่างูกัด ทายว่า ศัตรูเพศตรงข้ามจะคิดร้าย หรือถูกติฉินหากเพื่อนบ้าน ถ้าถูกกัดต่ำ ก็ยิ่งแสดงให้เห็นถึงศัตรูฝ่ายนั้นจะได้รับเคราะห์หนัก หรือมีคนนั้นจะป่วยเจ็บเพราะอุบัติเหตุในการเดินทาง
72,เงินทอง,ฝันว่าได้เงินได้ทอง หรือฝันว่าได้จับเงินทอง ทายว่า ผู้ฝันหรือคนในฝันจะได้เงิน แต่ในพจนานุกรมไทยตีความว่า จะเสียเงิน หรือเสียพนัน ถ้าฝันว่าเสียเงิน ทายว่า จะได้รับเงิน (การฝันถึงเงิน หรือเงินทอง ตำราฝันของไทย ถือว่าเป็นฝันดี แต่ตำราของต่างประเทศส่วนมาก ถือว่าเป็นฝันร้าย)
73,งาช้าง,ฝันเห็นงาช้างคู่ หรือได้จับต้องงาช้าง ทายว่าจะได้โชคลาภอย่างใหญ่หลวง ถ้าค้าขายจะประสบความร่ำรวยเห็นผลเร็ว ถ้าทำงานหรือรับราชการ จะมีผู้ใหญ่นำโชคลาภมาให้ หรือได้โชคลาภทางการเลื่อน.
74,งานศพ,ฝันว่าได้ไปร่วมพิธีในงานศพ หรือเห็นผู้คนพลุกพล่านในงานศพทายว่าจะได้รับข่าวดีเกี่ยวกับหน้าที่การงานหรือการค้าขาย ถ้าเป็นคดีความ จะได้ชัยชนะฝ่ายตรงข้าม.
75,งานพิธีต่างๆ,ฝันว่าได้ไปร่วมในงานพิธีต่างๆ เช่น งานบวชนาค หรืองานโกนจุก งานบีธีเพิ่มเติมของเพื่อนฝูง ทายว่าจะได้รับทั้งข่าวดีและข่าวร้ายหรือได้ทุกขลาภ จะเสียญาติมิตร แต่จะได้ลาภหรือเงินทองมาชนิดเซยภายหลัง หรือมีลาภจากลูกรุษ.
76,เฆี่ยง,ฝันว่าถูกเฆี่ยงเบ็ดเกี่ยวเนื้อ หรือถูกเฆี่ยงปลาทายว่า จะได้รับเคราะห์จากหน้าที่การงานหรือเพื่อนฝูง ถ้าเกี่ยงพ่อค้าจะถูกฉ้อโกงหรือหักหลังจากลูกคนนี้หรืออัครในทางการค้าขาย.
77,เงา,ฝันเห็นเงาตนเองในน้ำ หรือในกระจกส่องหน้า หรือสามวันดีสี่วันไข้ อดแอดอยู่ระยะหนึ่ง เมื่อพ้นเคราะห์แล้วจะได้ลาภ พอสมควร
78,งมของ,ฝันว่าได้ลงไปงมของในน้ำ หรือเอามืองมของในท้องร่อง ท่อ คูคลอง ทายว่า จะได้รับเคราะห์หากนายหน้า หรือนายประกัน หรือลิฉันจะต้องเสียทรัพย์สินเพราะจะถูกโจรกรรม
79,จานชาม,ฝันเห็นจานชามหรือถ้วยจาน หรือได้จับต้อง ทายว่า ถ้าเป็นคนมีครอบครัวแล้ว อาจจะมีลูก ถ้าเป็นคนโสดหรือคนชราแล้วจะได้งานการหรือการค้าเป็นหลัก เข้ามาอยู่ในบ้าน หรือมิฉะนั้นจะได้งานกิจการหรือสัตว์เลี้ยงมีคุณแหล่งดี
80,จระเข้,ฝันเห็นจระเข้ หรือถูกจระเข้ทำร้าย ทายว่า จะได้รับเคราะห์จากศัตรู หรือมีผู้คิดร้าย คอยทำร้ายหรือถึงการสูญเสียทรัพย์สินของเรา
81,จอมปลวก,ฝันเห็นจอมปลวกขึ้นภายในบ้าน ทายว่า จะมีโชคลาภใหญ่หลวง ถ้าเป็นข้าราชการหรือคนทำงานจะได้เลื่อนตำแหน่งหน้าที่ดีขึ้น ถ้าเป็นพ่อค้าจะเจริญก้าวหน้ารวดเร็วในธุรกิจ ถ้าฝันเห็นจอมปลวกกลางถนนนอกบ้าน ทายว่า จะมีโชคดีในการเดินทางหรือการเสี่ยงโชค
82,จดหมาย,ฝันว่าได้รับจดหมาย ทายว่า จะได้รับทั้งข่าวดีและลาภยศในระยะเร็ววัน ถ้าเป็นซองจดหมายสีขาว จะได้
83,จอมเสียม,ฝันเห็นจอบหรือเสียม หรือเครื่องมือทางเกษตร ถ้าได้จับต้องจะได้รับผลสำเร็จทั้งในหน้าที่การงานหรือการค้าขาย
84,จลาจล,ฝันเห็นการจลาจลภายในบ้านเมือง มีการใช้อาวุธโรมรันกัน ทายว่าจะได้รับทั้งโชคและเคราะห์ในเวลาไล่เลี่ยกัน ถ้าป่วยเจ็บจะได้ลาภลอยหรือผู้ใหญ่สงสารช่วยอุปการะย่อยับ
85,จมน้ำ,ฝันเห็นคนตกน้ำทำท่ากำลังจะจมมิมิแหล้ หรือฝันว่าตนเองตกน้ำหรือจมน้ำ ทายว่า จะได้รับเคราะห์หนัก ถ้าเป็นความจะแพ้คดีถึงต้องโทษ ถ้าเป็นการค้าวจะเสียหายหรือขาดทุน
86,จังหวะ,ฝันเห็นจังหวะหรือได้ยินเสียงจังหวะทักในฝัน ทายว่า จะได้รับข่าวดีจากการงาน หรือลาภทางการเสี่ยงโชคเล็กน้อย
87,จรวด,ฝันเห็นจรวดยาน หรือจรวดดอกไม้ไฟพุ่งขึ้นไปสู่ท้องฟ้า ทายว่า จะได้รับข่าวร้ายของญาติพี่น้องที่อยู่ต่างแดน หรือได้รับทุกขลาภทางหน้าที่การงาน หรือการค้าพอเสมอตัว แต่มักจะเนเคราะห์เกี่ยวกับญาติพี่น้องในตนเอง
88,จักรยาน,ฝันเห็นจักรยานหรือได้ขี่จักรยาน ทายว่า จะต้องเดินทางไกล หรือมีการโยกย้ายที่อยู่ หรือหน้าที่การงาน
89,จันทร์จรดฟ้า,(ดู ครราส' อักษร จ.)
90,จิ้งหรีด,ฝันเห็นจิ้งหรีดกัดกัน หรือได้จับจิ้งหรีด ทายว่า จะได้รับเคราะห์จากผู้มีอำนาจน้อยกว่า หรืออุบัติเหตุภายในบ้าน จะทำให้เสียเงินทอง
91,จูบ,ฝันว่าได้กอดจูบเด็กเล็ก ทายว่า จะได้ลาภหรือสิ่งของเป็นของกำนัล ถ้าได้จูบคนสูงอายุกว่า ทายว่า จะได้ลาภจากผู้ใหญ่ ถ้าจูบสัตว์เลี้ยงหรือนกรัก ทายว่า จะได้รับเคราะห์เล็ก ๆ น้อย ๆ จากคนอื่นมาหลอกลักหรือขโมยตราสหายใกล้สัตว์
92,จักรพรรดิ,ฝันเห็นจักรพรรดิ หรือพระเจ้าแผ่นดินต่างประเทศ ทายว่าจะได้เดินทางไกลหรือผู้ใหญ่ต่างชาติจะช่วยเหลือ หรือถ้าเป็นโสดจะได้พบเนื้อคู่ต่างชาติต่างภาษาที่มีฐานะดี
93,เจดีย์,ฝันเห็นองค์พระเจดีย์ หรือพระปรางค์ หรือสถูปยอดสูง ๆ ทายว่า จะเป็นมงคลแก่ตัวเอง ถ้าเป็นข้าราชการหรือคนทำงาน จะได้รับตำแหน่งหน้าที่สูงขึ้น ถ้าเป็นพ่อค้าจะได้รับชื่อเสียงไปในทางดี แต่ยังไม่มีโชคลาภทางการเงินดีเด่นนัก
